 Quarterly Monetary Aggregates (₦' Billion),,,,,,,,,,,,,,
Period,NFA,NCG,CPS,CCP,CSLG,RM,M1,QM,M2,CBS,M3,PSDD,Reserves,CIC
Q3," 8,549.98 ", 429.31 ," 14,974.62 "," 8,922.38 ", 704.92 ," 4,649.99 "," 7,153.35 "," 8,997.77 "," 16,151.12 "," 2,828.43 "," 18,979.55 "," 5,984.15 "," 3,175.94 "," 1,474.05 "
Q4," 8,262.18 "," 1,860.78 "," 15,279.76 "," 9,343.05 ", 778.13 ," 5,185.94 "," 7,703.91 "," 9,603.45 "," 17,307.37 "," 3,308.09 "," 20,615.45 "," 6,256.30 "," 3,409.52 "," 1,776.41 "
2014 ,,,,,,,,,,,,,,
Q1," 6,359.69 "," 2,669.91 "," 16,034.17 "," 9,958.63 ", 755.73 ," 4,576.86 "," 7,803.50 "," 9,764.78 "," 17,568.28 "," 2,549.70 "," 20,117.97 "," 6,576.05 "," 3,002.90 "," 1,573.96 "
Q2," 7,446.60 ", 931.56 ," 16,376.21 "," 10,308.48 ", 731.04 ," 4,696.08 "," 7,339.88 "," 10,117.75 "," 17,457.62 "," 2,735.24 "," 20,192.87 "," 6,176.70 "," 3,199.34 "," 1,496.74 "
Q3," 7,371.06 "," 1,595.16 "," 17,094.36 "," 10,982.16 ", 723.75 ," 4,863.88 "," 7,460.67 "," 11,070.95 "," 18,531.62 "," 2,804.91 "," 21,336.53 "," 6,217.07 "," 3,315.96 "," 1,547.92 "
Q4," 6,744.39 ", 574.65 ," 18,223.78 "," 11,985.52 ", 731.79 ," 5,840.89 "," 7,202.68 "," 11,451.59 "," 18,654.27 "," 1,797.46 "," 20,451.73 "," 5,834.68 "," 4,042.92 "," 1,797.98 "
2015 ,,,,,,,,,,,,,,
Q1," 6,225.85 "," 1,468.84 "," 18,605.34 "," 12,663.28 ", 543.22 ," 5,813.39 "," 7,093.82 "," 11,504.60 "," 18,598.42 "," 2,496.80 "," 21,095.22 "," 5,621.42 "," 3,994.97 "," 1,818.42 "
Q2," 5,400.50 "," 2,370.72 "," 18,894.12 "," 12,904.62 ", 471.43 ," 5,842.95 "," 6,644.62 "," 11,613.20 "," 18,257.82 "," 2,869.23 "," 21,127.05 "," 5,459.36 "," 4,280.61 "," 1,562.35 "
Q3," 4,547.55 "," 2,862.14 "," 18,592.23 "," 12,619.14 ", 396.98 ," 5,734.11 "," 7,258.96 "," 11,245.89 "," 18,504.85 "," 2,615.82 "," 21,120.68 "," 6,038.21 "," 4,096.62 "," 1,637.50 "
Q4," 5,324.53 "," 2,519.24 "," 18,811.52 "," 12,448.00 ", 583.82 ," 5,758.71 "," 7,835.21 "," 11,763.92 "," 19,599.13 "," 1,689.11 "," 21,288.24 "," 6,377.17 "," 3,900.77 "," 1,857.94 "
2016 ,,,,,,,,,,,,,,
Q1," 4,983.49 "," 3,520.36 "," 18,962.41 "," 12,430.81 ", 667.95 ," 5,706.75 "," 8,338.89 "," 11,739.25 "," 20,078.14 "," 1,939.24 "," 22,017.38 "," 6,895.57 "," 3,895.66 "," 1,811.09 "
Q2," 6,134.29 "," 3,002.45 "," 21,415.05 "," 14,802.09 ", 728.27 ," 5,324.46 "," 8,195.22 "," 13,200.73 "," 21,395.95 "," 1,937.91 "," 23,333.86 "," 6,814.24 "," 3,639.88 "," 1,684.58 "
Q3," 6,874.52 "," 3,859.41 "," 22,677.97 "," 15,053.20 ", 832.04 ," 5,197.84 "," 8,861.23 "," 13,119.83 "," 21,981.05 "," 3,989.99 "," 25,971.05 "," 7,381.41 "," 3,403.55 "," 1,794.29 "
Q4," 7,852.15 "," 4,503.57 "," 22,326.33 "," 14,984.26 ", 988.48 ," 5,848.03 "," 9,139.03 "," 14,034.23 "," 23,173.26 "," 4,910.65 "," 28,083.91 "," 7,316.09 "," 3,668.86 "," 2,179.17 "
2017,,,,,,,,,,,,,,
Q1," 6,770.73 "," 5,039.58 "," 22,750.55 "," 15,253.69 "," 1,088.33 "," 5,643.50 "," 8,823.05 "," 13,218.27 "," 22,041.33 "," 5,666.77 "," 27,708.10 "," 7,159.19 "," 3,659.86 "," 1,983.63 "
Q2," 7,131.12 "," 4,807.96 "," 22,356.80 "," 14,962.70 "," 1,179.30 "," 5,480.32 "," 8,667.26 "," 12,740.36 "," 21,407.62 "," 6,338.48 "," 27,746.10 "," 7,187.38 "," 3,606.78 "," 1,873.54 "
Q3," 8,371.37 "," 4,808.23 "," 22,500.48 "," 14,799.13 "," 1,248.27 "," 5,559.90 "," 8,452.46 "," 13,084.89 "," 21,537.34 "," 7,891.26 "," 29,428.60 "," 7,014.15 "," 3,778.86 "," 1,781.05 "
Q4," 10,977.37 "," 3,712.93 "," 22,243.19 "," 14,766.89 "," 1,494.81 "," 6,483.80 "," 9,480.02 "," 14,464.64 "," 23,944.66 "," 4,529.00 "," 28,473.66 "," 7,697.36 "," 4,326.57 "," 2,157.23 "
2018,,,,,,,,,,,,,,
Q1," 10,144.94 "," 4,217.73 "," 22,279.79 "," 14,353.06 "," 1,581.92 "," 6,755.85 "," 9,439.52 "," 14,484.99 "," 23,924.51 "," 4,687.61 "," 28,612.12 "," 7,771.14 "," 4,716.52 "," 2,039.32 "
Q2," 11,823.89 "," 2,369.67 "," 22,230.90 "," 14,121.09 "," 1,578.81 "," 6,360.58 "," 9,454.88 "," 14,845.26 "," 24,300.14 "," 4,529.86 "," 28,830.00 "," 7,934.98 "," 4,459.91 "," 1,900.67 "
Q3," 12,918.73 "," 2,929.51 "," 22,978.28 "," 14,989.87 "," 1,291.86 "," 6,802.67 "," 9,864.55 "," 15,280.71 "," 25,145.26 "," 5,290.74 "," 30,436.00 "," 8,262.66 "," 4,876.29 "," 1,926.38 "
Q4," 11,838.71 "," 4,916.77 "," 23,536.26 "," 13,226.99 "," 1,746.27 "," 7,180.01 "," 10,401.98 "," 16,053.43 "," 26,455.41 "," 6,284.21 "," 32,739.62 "," 8,494.64 "," 4,850.31 "," 2,329.71 "
2019,,,,,,,,,,,,,,
Q1," 10,022.58 "," 7,274.27 "," 25,707.79 "," 13,790.57 "," 1,777.70 "," 8,149.54 "," 9,880.33 "," 16,598.05 "," 26,478.39 "," 7,002.91 "," 33,481.29 "," 8,100.66 "," 5,994.56 "," 2,154.98 "
Q2," 9,936.48 "," 7,716.21 "," 24,786.95 "," 13,862.77 "," 1,764.77 "," 7,187.18 "," 9,558.24 "," 17,880.14 "," 27,438.38 "," 7,002.42 "," 34,440.80 "," 7,924.29 "," 5,173.11 "," 2,014.07 "
Q3," 5,397.55 "," 9,924.36 "," 25,758.78 "," 14,505.34 "," 1,755.61 "," 7,000.37 "," 9,667.25 "," 17,194.17 "," 26,861.43 "," 7,368.22 "," 34,229.65 "," 8,043.61 "," 4,994.76 "," 2,005.60 "
Q4," 5,944.46 "," 10,098.14 "," 26,616.74 "," 16,249.77 "," 1,869.67 "," 8,680.95 "," 10,648.41 "," 18,229.53 "," 28,877.94 "," 5,972.94 "," 34,850.88 "," 8,625.77 "," 6,237.97 "," 2,442.99 "
20201,,,,,,,,,,,,,,
Q1,"  7,593.22 ","  10,009.03 "," 28,422.91 "," 17,252.26 "," 1,870.84 "," 10,154.25 "," 11,107.00 "," 19,903.12 "," 31,010.12 "," 4,766.51 "," 35,776.64 "," 9,216.16 "," 7,858.07 "," 2,296.17 "
Q2,"  8,360.08 ","  8,898.42 "," 29,555.51 "," 17,624.23 "," 1,812.29 "," 13,245.39 "," 12,381.37 "," 20,212.15 "," 32,593.52 "," 3,174.47 "," 35,767.99 "," 10,513.08 "," 10,944.55 "," 2,300.83 "
Q3,"  7,579.04 ","  9,683.89 "," 29,745.78 "," 18,506.00 "," 1,978.19 "," 13,576.88 "," 13,555.67 "," 21,409.78 "," 34,965.45 "," 1,029.56 "," 35,995.01 "," 11,537.19 "," 11,149.55 "," 2,427.33 "
Q4,"  8,973.31 ","  11,492.71 "," 29,890.46 "," 18,713.66 "," 2,068.52 "," 13,107.92 "," 15,838.40 "," 21,990.48 "," 37,828.88 "," 1,076.04 "," 38,904.92 "," 13,342.79 "," 10,199.46 "," 2,908.46 "
20211,,,,,,,,,,,,,,
Q1,"  6,725.97 ","  12,066.88 "," 31,437.05 "," 20,284.81 "," 2,108.32 "," 13,338.12 "," 16,138.21 "," 22,150.01 "," 38,288.21 ", 432.17 ," 38,720.38 "," 13,832.54 "," 10,529.39 "," 2,808.73 "
Q2,"  7,292.25 ","  11,593.88 "," 32,625.54 "," 21,309.82 "," 2,142.32 "," 12,333.85 "," 16,024.39 "," 22,838.66 "," 38,863.05 ", 647.51 ," 39,510.56 "," 13,776.21 "," 9,592.59 "," 2,741.26 "
Q3,"  5,807.75 ","  13,005.39 "," 33,936.53 "," 22,410.02 "," 2,310.45 "," 12,905.94 "," 15,961.29 "," 24,487.92 "," 40,449.20 ", 0.93 ," 40,450.14 "," 13,589.72 "," 10,068.88 "," 2,837.06 "
Q4,"  9,352.15 ","  13,839.91 "," 34,920.73 "," 23,735.76 "," 2,495.22 "," 13,295.15 "," 18,055.86 "," 26,387.20 "," 44,443.07 ", 0.91 ," 44,443.97 "," 15,117.44 "," 9,969.99 "," 3,325.16 "
20222,,,,,,,,,,,,,,
Q1,"  7,563.61 ","  17,151.00 "," 36,467.41 "," 24,456.26 "," 3,002.49 "," 14,301.77 "," 19,610.36 "," 26,884.69 "," 46,495.04 ", 0.92 ," 46,495.97 "," 16,896.28 "," 11,056.17 "," 3,245.60 "
Q2,"  6,109.03 ","  18,214.63 "," 39,233.61 "," 26,735.20 "," 3,239.99 "," 13,860.27 "," 20,348.21 "," 28,549.24 "," 48,897.45 ", 0.89 ," 48,898.34 "," 17,628.88 "," 10,604.70 "," 3,255.56 "
Q3,"  4,485.16 ","  22,826.32 "," 40,515.28 "," 27,712.94 "," 3,225.75 "," 15,007.59 "," 21,197.37 "," 28,134.46 "," 49,331.84 ", 1.25 ," 49,333.08 "," 18,467.49 "," 11,778.84 "," 3,228.75 "
Q4,"  6,961.24 ","  22,366.60 "," 41,714.95 "," 28,470.00 "," 3,305.46 "," 16,032.96 "," 20,761.45 "," 31,039.92 "," 51,801.38 ", 393.64 ," 52,195.01 "," 18,192.44 "," 13,020.91 "," 3,012.06 "
