 Quarterly Monetary Aggregates (₦' Billion),,,,,,,,,,,,,,
Period,NFA,NCG,CPS,CCP,CSLG,RM,M1,QM,M2,CBS,M3,PSDD,Reserves,CIC
Q2, 15.09 , 20.38 , 28.59 , 28.59 , 0.00 , 12.71 , 24.54 , 23.59 , 48.12 , 0.00 , 0.00 , 14.13 , 1.47 , 11.24 
Q3, 18.90 , 11.42 , 28.98 , 28.98 , 0.00 , 12.38 , 23.74 , 20.47 , 44.22 , 0.00 , 0.00 , 12.82 , 0.74 , 11.64 
Q4, 22.52 , 7.36 , 29.64 , 29.64 , 0.00 , 11.84 , 26.27 , 20.79 , 47.06 , 0.00 , 0.00 , 16.51 , 1.12 , 10.72 
1990,,,,,,,,,,,,,,
Q1, 29.41 , 13.20 , 31.70 , 31.70 , 0.00 , 12.99 , 27.33 , 22.89 , 50.23 , 0.00 , 0.00 , 17.04 , 1.17 , 11.82 
Q2, 32.51 , 2.20 , 31.76 , 31.76 , 0.00 , 14.23 , 25.62 , 23.33 , 48.95 , 0.00 , 0.00 , 14.22 , 1.67 , 12.57 
Q3, 35.39 , 2.96 , 35.86 , 35.86 , 0.00 , 14.67 , 31.22 , 25.70 , 56.91 , 0.00 , 0.00 , 19.36 , 1.62 , 13.04 
Q4, 43.91 , 22.77 , 35.44 , 35.44 , 0.00 , 18.34 , 39.16 , 29.51 , 68.66 , 0.00 , 0.00 , 24.21 , 2.13 , 16.21 
1991,,,,,,,,,,,,,,
Q1, 52.51 , 10.50 , 34.21 , 34.21 , 0.00 , 19.46 , 40.75 , 30.28 , 71.03 , 0.00 , 0.00 , 25.13 , 2.81 , 16.66 
Q2, 53.59 , 20.99 , 37.69 , 37.69 , 0.00 , 18.72 , 46.48 , 33.66 , 80.14 , 0.00 , 0.00 , 29.82 , 0.88 , 17.85 
Q3, 49.91 , 6.32 , 38.75 , 38.75 , 0.00 , 24.95 , 45.89 , 35.31 , 81.20 , 0.00 , 0.00 , 27.88 , 5.54 , 19.40 
Q4, 56.05 , 39.63 , 42.08 , 42.08 , 0.00 , 29.87 , 50.06 , 37.43 , 87.49 , 0.00 , 0.00 , 26.95 , 4.54 , 25.33 
1992,,,,,,,,,,,,,,
Q1, 83.97 , 45.41 , 43.77 , 43.77 , 0.00 , 27.53 , 59.86 , 42.83 , 102.69 , 0.00 , 0.00 , 36.72 , 2.62 , 24.91 
Q2, 85.27 , 22.30 , 55.04 , 55.04 , 0.00 , 30.73 , 70.60 , 44.29 , 114.89 , 0.00 , 0.00 , 44.94 , 3.00 , 27.74 
Q3, 81.30 , 31.38 , 48.75 , 48.75 , 0.00 , 35.90 , 73.53 , 48.10 , 121.63 , 0.00 , 0.00 , 44.05 , 4.15 , 31.75 
Q4, 35.78 , 91.11 , 79.96 , 76.10 , 1.51 , 77.33 , 75.97 , 53.12 , 129.09 , 0.00 , 0.00 , 39.21 , 31.65 , 39.73 
1993,,,,,,,,,,,,,,
Q1, 46.42 , 83.98 , 99.46 , 94.68 , 1.66 , 95.23 , 82.43 , 64.15 , 146.57 , 0.00 , 0.00 , 43.25 , 45.10 , 42.86 
Q2, 64.14 , 71.21 , 134.26 , 129.21 , 1.88 , 103.55 , 91.43 , 68.02 , 159.45 , 0.00 , 0.00 , 46.81 , 46.36 , 47.85 
Q3, 61.69 , 87.34 , 154.99 , 149.75 , 1.83 , 109.84 , 100.88 , 75.24 , 176.12 , 0.00 , 0.00 , 49.23 , 46.57 , 55.36 
Q4, 63.56 , 185.17 , 95.53 , 91.24 , 1.54 , 115.54 , 118.75 , 79.73 , 198.48 , 0.00 , 0.00 , 60.91 , 41.99 , 62.57 
1994,,,,,,,,,,,,,,
Q1, 55.00 , 196.49 , 137.48 , 132.61 , 1.57 , 154.70 , 118.59 , 89.62 , 208.20 , 0.00 , 0.00 , 63.85 , 81.70 , 57.91 
Q2, 52.32 , 200.38 , 143.84 , 138.45 , 1.95 , 137.11 , 131.55 , 96.71 , 228.26 , 0.00 , 0.00 , 75.76 , 58.76 , 59.82 
